Keys,English (Canada),French (Canada)
##faction_corruptrons,Corruptrons,Corruptrons
##faction_spectators,Spectators,Spectateurs
##faction_neutral,Neutral,Neutre
,,
##team_a,Team A,Équipe A
##team_b,Team B,Équipe B
##team_c,Team C,Équipe C
##team_d,Team D,Équipe D
,,
##saved_map,Map Saved,Carte Sauvegardée
##saved_game,Game Saved,Partie Sauvegardée
,,
GAMEMODES,,
##mode,Mode,Mode
##mode_sandbox,Sandbox,Construction Libre
##mode_sandbox_info,The game mode for creatives and pacifists. No enemies means you can build anything you want at your own pace.,Le mode de jeu fait pour les créatifs et pacifistes. Pas d'enemis veut dire que vous pouvez construire ce dont vous voulez et ce à votre rythme.
##mode_sandbox_intro,"This is <b>Sandbox mode</b>.

In this mode, your creativity's the limit!
There is no time limit and no Corruptrons, so you can build without worry.
Use this time to explore the game and practice the art of castle building. 

Have fun!","Ceci est le mode <b>Construction Libre</b>.

Ici, vous pouvez faire ce que vous voulez.
Il n'y a ni limite de temps ni Corruptrons, alors vous pouvez bâtir sans inquiétudes.
Utilisez ce mode pour explorer le jeu et pratiquer l'art de construire des châteaux. 

Amusez-vous!"
##mode_sandbox_intro_start,I'm ready!,Je suis prêt!
##mode_sandbox_intro_start_info,Start the game,Commencez la partie
##mode_conquest,Conquest,Conquête
##mode_conquest_info,Hordes of marauding corruptrons roam the land. Can you muster enough forces to kick them off your island?,Des troupeaux de corruptrons parcourent le paysage. Pouvez-vous amasser une force assez puissante pour les éjecter?
##mode_conquest_intro,"The corruptrons have made landfall on this island. In no time,
they will have spread their corrupting influence over all of the island's magical crystals.
Only you can stop their advance.

Are you up to the challenge?","Les Corruptrons ont finalement mis pieds sur terre sur votre ile. Dans peu de temps, ils auront étendu leur influence corrompue auprès de tous les cristaux magiques de l'ile.\nSeul vous pouvez les en empêcher.\n\nEn êtes vous capable?"
##mode_conquest_intro_start,I'm ready!,Je suis prêt!
##mode_conquest_intro_start_info,Start the game,Commencez la partie
##mode_conquest_victory,Victory!,Victoire!
##mode_conquest_victory_info,You have crushed the opposing factions. Your masterful building and strategy have given your Bricktrons the upper hand and they now control the Islands. You will forever be remembered as a glorious leader.,Vous avez écrasé toute opposition à votre régime. Votre génie stratégique et votre ingénierie supérieure ont eu raison de vos adversaires et vous contrôlez maintenant les Îles. Vous serez éternellement commémoré glorieusement comme un dirigeant sans égal.
##mode_conquest_victory_quit,Quit,Quitter
##mode_conquest_victory_quit_info,Return to main menu,Retourner au menu principal
##mode_conquest_defeat,Defeat!,Défaite!
##mode_conquest_defeat_info,"Your enemies have conquered your home Crystal. 
Most of your Bricktrons have been defeated and the surviving ones have been exiled. They now seek new horizons and a new island to call home.","Vos ennemis ont conquis votre Cristal.
Les Bricktrons qui survécurent furent exilés. Ils poursuivent maintenant de nouveaux horizons et cherchent une nouvelle ile où habiter."
##mode_conquest_defeat_quit,Quit,Quitter
##mode_conquest_defeat_quit_info,Return to main menu,Retourner au menu principal
##mode_conquest_defeat_continue,Spectate,Rester
##mode_conquest_defeat_continue_info,Continue as spectator,Continuer comme spectateur
##mode_invasion,Invasion,Invasion
##mode_invasion_info,Corruptrons attack your castle in waves of increasing difficulty. How long will you last? Skill and determination are your best weapons.,Des corruptrons attaquent votre château en vagues de plus en plus difficiles. Vos prouesses et votre determination sont vos meilleures armes.
##mode_invasion_intro,"Your time is limited.

Hordes of marauding Corruptrons are at your doorstep.
Each wave of Corruptrons will get increasingly diffcult.
Your only option is to erect fortifications around your home crystal and brace yourself.

Good luck!",Votre temps est compté.\n\nDes hordes de Corruptrons enragés sont à l'horizon. Chaque vague deviendra de plus en plus difficile. Votre seule option est d'ériger des fortifications autour de votre cristal et d'espérer la clémence de vos ennemis.\n\nBonne chance!
##mode_invasion_intro_start,I'm ready!,Je suis prêt!
##mode_invasion_intro_start_info,Start the game,Commencez la partie
##mode_invasion_victory,Victory!,Victoire!
##mode_invasion_victory_info,"You have demonstrated that you could withstand any reasonably sized corruptron assault. You have officially won the <b>Invasion</b> game mode. You can keep playing if you want, but the increasing number of ennemies will eventually impact the game performance and unravel the very fabric of the bricktron world.","Avec votre coeur au ventre et votre détermination devant l'adversité, vous avez triomphé du mode <b>Invasion</b>. Vous pouvez continuer à jouer, mais le nombre croissant de Corruptrons aura éventuellement raison de votre ordinateur."
##mode_invasion_victory_quit,Quit,Quitter
##mode_invasion_victory_quit_info,Return to main menu,Retourner au menu principal
##mode_invasion_victory_continue,Continue,Continuer
##mode_invasion_victory_continue_info,Keep playing,Continuez de jouer
##mode_invasion_defeat,Defeat!,Défaite!
##mode_invasion_defeat_info,"Henceforth, The once glorious lands upon which the Bricktrons thrived becometh a territory governed by the ruthless Corruptrons.","Ainsi, la jadis glorieuse contrée sur laquelle règnait les Bricktrons fût conquise par les impitoyables Corruptrons."
##mode_invasion_defeat_quit,Quit,Quitter
##mode_invasion_defeat_quit_info,Return to main menu,Retourner au menu principal
##mode_invasion_nextwave,Next wave starts in:,Prochaine vague débute dans:
##mode_invasion_skip,Skip,Escamoter
##mode_invasion_hidden,(Hidden),(Caché)
##mode_invasion_wave,Wave,Vague
##mode_invasion_killcount,Kills: ,Ennemis vaincus: 
##mode_invasion_wavesurvived_one,You have survived #waves_survived wave.,Vous avez survécu à #waves_survived vague.
##mode_invasion_wavesurvived_many,You have survived #waves_survived waves.,Vous avez survécu à #waves_survived vagues.
##mode_worldeditor,World Editor,Éditeur de Monde
##mode_worldeditor_info,Create a new map from scratch,Créer ou modifier une carte existante
##mode_creditisland,Credit Island,Ile de la Renommée
##mode_creditisland_intro,"Legend has it that these floating islands contain the lost souls of 30 000 backers. These souls, trapped within layers of solid rock, are awaiting the day where they will be set free!","La légende dit que ces iles contiennent les âmes perdues de 30 000 backers. Ces âmes, emprisonnées sous plusieurs couches de roc solide, n'attendent que le jour où elles seront libérées!"
##mode_creditisland_intro_start,I'm ready!,Je suis prêt!
##mode_creditisland_intro_start_info,Start the game,Commencez la partie
##mode_unsupported,Unsupported,Non supporté
##mode_noneselected,None selected,Aucun selectionné
##mode_nonesupported,None supported,Aucun supporté
##mode_gtg,Grab the Gems,Ramasse les Gemmes
##mode_gtg_info,Grab the Gems is a multiplayer game mode in which you must bring back gems to your home crystal. The team that brings back the most gems to their crystal wins!,Ramasse les Gemmes est un mode multijoueur dans lequel vous devez ramener des gemmes à votre cristal principal. L'équipe qui ramène le plus de gemmes gagne!
##mode_gtg_intro,"Grab the Gems is a gamemode where, in order to win, you must be the first faction to collect #gems_to_win gems and drop them at your home crystal.
Pick up gems by selecting a worker and right-clicking a gem that has appeared in its patch. Drop the gem in your crystal by right-clicking it with the worker selected.
Consider defending patches of gems and hunting down enemy workers who are hauling gems back to their base.
Have fun and good luck!","Pour gagner la partie dans le mode Ramasse les Gemmes, vous devez ramasser #gems_to_win gemmes et les déposer dans votre cristal principal.
Utilisez un ouvrier pour ramasser une gemme dans son carré en faisant clic-droit. Déposez une gemme dans votre cristal en faisant clic-droit avec un ouvrier qui en transporte une.
Considérez défendre les carrés de gemmes et chasser les travailleurs ennemis qui tentent de ramener des gemmes à leur cristal.
Amusez-vous et bonne chance!"
##mode_gtg_intro_start,I'm ready!,Je suis prêt!
##mode_gtg_intro_start_info,Get grabbin',À la chasse!
##mode_gtg_gemscollected_one,You have managed to collect #gem_count gem!,Vous avez ramassé #gem_count gemme!
##mode_gtg_gemscollected_many,You have managed to collect #gem_count gems!,Vous avez ramassé #gem_count gemmes!
##mode_gtg_timebeforenextgem,Time before next gem:,Prochaine gemme dans:
##mode_gtg_victory,Victory!,Victoire!
##mode_gtg_victory_info,You are victorious! You were the first faction to collect all the needed gems. Fabulous! Outrageous!,Vous êtes victorieux! Vous êtes le premier à avoir ramassé toutes les gemmes nécéssaires. Fabuleux! Outrageux!
##mode_gtg_victory_quit,Quit game,Quitter la partie
##mode_gtg_victory_quit_info,Return to main menu,Retourner au menu principal
##mode_gtg_defeat,Defeat!,Défaite!
##mode_gtg_defeat_info,"You have been defeated.\n
Another faction has managed to collect the needed gems before you.\n
May your powerless, gemless Bricktrons live in shame until you once again seize the opportunity to prove yourself!","Vous avez perdu. \n
Une autre faction que la vôtre a ramassées les gemmes nécéssaires avant vous.\n
Vos Brickrons, privés du pouvoir que leur confèrent les gemmes, vivront dans la honte jusqu'à la prochaine bataille!"
##mode_gtg_defeat_quit,Quit game,Quitter la partie
##mode_gtg_defeat_quit_info,Return to main menu,Retourner au menu principal
,,
PRESETS,,
##mode_preset,Preset,Préréglage
##mode_preset_noneselected,None selected,Aucun selectionné
##mode_sandbox_preset_lightsout,Lights Out,Mode Obscurité
##mode_sandbox_default,Default,Défaut
##mode_conquest_preset_easy,Easy,Facile
##mode_conquest_preset_normal,Normal,Normal
##mode_conquest_preset_hard,Hard,Difficile
##mode_conquest_preset_normallightsout,Normal Lights Out,Normal Mode Obscurité
##mode_conquest_preset_versus,Versus,Versus
##mode_conquest_preset_coopeasy,Coop Easy,Coopératif Facile
##mode_conquest_preset_coopnormal,Coop Normal,Coopératif Normal
##mode_conquest_preset_coophard,Coop Hard,Coopératif Difficile
##mode_conquest_preset_coopnormallightsout,Coop Normal Lights Out,Coopératif Normal Mode Obscurité
##mode_invasion_preset_easy,Easy,Facile
##mode_invasion_preset_normal,Normal,Normal
##mode_invasion_preset_normallightsout,Normal Lights Out,Normal Mode Obscurité
##mode_invasion_preset_hard,Hard,
##mode_invasion_preset_very_hard,Very Hard,Difficile
##mode_invasion_preset_coop_easy,Coop Easy,Coopératif Facile
##mode_invasion_preset_coop_normal,Coop Normal,Coopératif Normal
##mode_invasion_preset_coop_normallightsout,Coop Normal Lights Out,Coopératif Normal Mode Obscurité
##mode_invasion_preset_coop_hard,Coop Hard,Coopératif Difficile
##mode_worldeditor_preset_default,Default,Défaut
##mode_creditisland_preset_default,Credit Island,Ile de la Renommée
##mode_gtg_preset_default,Default,Défaut
##mode_gtg_preset_default_info,Default preset.,Présélection par défaut.
##mode_gtg_preset_extended,Extended,Prolongé
##mode_gtg_preset_extended_info,Gems will take more time to spawn,Les gemmes vont prendre plus de temps à apparaître
,,
##mode_tutorial,Tutorial,Tutoriel
##mode_tutorial_info,An introduction to Castle Story,
##mode_tutorial_preset_default,Default,Défaut
##mode_tutorial_sendcorruptron,Send Corruptron Wave,Vague de Corruptrons
,,
##mapmenu_size,Size,Taille
##mapmenu_size_small,Small,Petite
##mapmenu_size_medium,Medium,Moyenne
##mapmenu_size_large,Large,Grande
,,
##mapmenu_maxplayers,Max Players,Max de Joueurs
,,
##gamemenu_corrupted,Corrupted,Corrompu
##gamemenu_player,Player,Joueur
,,
##mapmenu_delete,Delete,Effacer
##mapmenu_delete_info,Delete the save file from your disk.,Supprimer la sauvegarde de votre disque.
##mapmenu_delete_confirmation,Delete Confirmation,Effacer Confirmation
##mapmenu_delete_confirmation_message,You are about to delete this file forever.\nThis action cannot be undone.\nContinue?,Cette action va effacer ce fichier pour toujours.\nVous ne pourrez pas revenir en arrière.\nContinuer?
##mapmenu_delete_confirmation_confirm,Yes! Delete.,Oui! Effacer.
##mapmenu_delete_confirmation_cancel,Cancel,Annuler
,,
##mainmenu_none,None,Écrivez votre message
,,
DATETIME,,
##datetime_dateformat,"#weekday, #month #monthday, #year",#weekday le #monthday #month #year
,,
##datetime_month_january,January,Janvier
##datetime_month_february,February,February
##datetime_month_march,March,Mars
##datetime_month_april,April,Avril
##datetime_month_may,May,Mai
##datetime_month_june,June,Juin
##datetime_month_july,July,Juillet
##datetime_month_august,August,Aout
##datetime_month_september,September,Septembre
##datetime_month_october,October,Octobre
##datetime_month_november,November,Novembre
##datetime_month_december,December,Decembre
,,
##datetime_weekday_sunday,Sunday,Dimanche
##datetime_weekday_monday,Monday,Lundi
##datetime_weekday_tuesday,Tuesday,Mardi
##datetime_weekday_wednesday,Wednesday,Mercredi
##datetime_weekday_thursday,Thursday,Jeudi
##datetime_weekday_friday,Friday,Vendredi
##datetime_weekday_saturday,Saturday,Samedi
,,
THOUGHTS,,
##thought_unknown,Hmm,Hmm
##thought_cant_repair,I can't repair this,Je ne peux pas réparer cela
##thought_cant_transformlog,I cannot transform this log,Je ne peux pas équarrir cette bûche
##thought_works_accounted,The others are doing fine,Les autres se débrouillent
##thought_reach_destination,Can't reach my destination,Je ne peux pas atteindre ma destination
##thought_cant_choptrees,Can't cut trees,Je ne peux pas bûcher du bois
##thought_nothingtodo,Nothing to do,Je n'ai rien à faire
##thought_thinking,Thinking...,Je réfléchis...
##thought_cant_break,I can't break a block right now,Je ne peux pas briser de bloc en ce moment
##thought_looking_for_storage,Looking for storage,Je cherche un espace de stockage
##thought_could_not_find_storage,Could not find storage.,Aucun espace de stockage
##thought_inventory_empty,My inventory is empty,Mon inventaire est vide
##thought_storage_full,My destination storage became full,Mon espace de stockage prévu est plein
##thought_storage_noexist,My destination storage no longer exists,Mon lieu d'entreposage n'existe plus
##thought_cant_find,Can't find what I need,Je ne trouve pas ce dont j'ai besoin
##thought_cant_collect_plants,I can't collect plants right now.,Je ne peux pas cueillir des plantes en ce moment
##thought_inventory_full,I can't carry any more,Je suis trop chargé
##thought_already_enough_workers_doing_goal,Already enough workers on the task,Il y a suffisamment d'ouvriers sur cette tâche
##thought_job_notforme,This job is not right for me.,Ce travaille n'est pas pour moi
##thought_enough_workers_in_project,No space left for me to join,Il n'y a plus de place pour moi
##thought_carrying_toomuch_todig,Carrying too much to dig,Je suis trop chargé pour creuser
##thought_not_grounded,Woaaahhhhh!,Wouhhouhh!
##thought_target_is_too_far_away,Can't aim at target,Ma cible est trop éloignée
##thought_object_has_changed_container,Someone took my resource!,Quelqu'un m'a pris mes ressources!
##thought_object_was_converted,My resources got converted,Mes ressources ont été converties
##thought_object_in_someone_else_bag,What I need is in someone else's bag,Ce dont j'ai besoin est dans le sac de quelqu'un d'autre
##thought_will_not_betray_my_friends,I will not betray my friends,Je ne trahirai pas mes amis
##thought_target_is_dead,My target is already dead,Arrêtez! Y'est déjà mort!
##thought_voxel_was_built_over,My voxel was built over,On a bâti sur mon voxel
##thought_area_is_too_dangerous,This area is too dangerous,Cet endroit est trop dangereux
##thought_looking_for_path_to_tree,Trying to reach trees,J'essaie d'atteindre les arbres
,,
##loading_tip_right_click_pie_menu,Hold right-click on various objects such as the furnace to get a contextual menu. The menu will offer different actions depending on what is selected or hovered.,Maintient le bouton droit de la souris sur différents objets tel que la fournaise pour afficher un menu contextuel. Le menu offre différentes actions selon ce qui est selectionné et ce qui se trouve sous le pointeur.
##loading_tip_move_attack,Shift + Right-Click with military units selected to order them to move-attack.,Shift + Clic-Droit avec des unités militaires sélectionnées pour leur donner l'ordre de bouger et attaquer.
##loading_tip_discord,Join the official Discord to find fellow Castle Story players! www.castlestory.net/Discord,Rejoignez le serveur Discord officiel de Castle Story pour rencontrer d'autres joueurs! www.castlestory.net/Discord
##loading_tip_alchemist_ammo,Replenish an Alchemist’s ammo by selecting the unit and right-clicking a stockpile with bombs.,Rechargez les munitions d'un Alchimiste en le sélectionnant et en faisant Clic-Droit sur une palette contenant des bombes.
##loading_tip_bear_traps,Build bear traps on chokepoints to slow enemies down and allow ranged units to take them out before they reach your castle.,Mettez des pièges à ours dans un goulot d'étranglement pour ralentir les ennemis et permettre à vos unités d'attaque à distance de les éliminer avant qu'ils n'atteignent votre château.
##loading_tip_quarry_stairs,"You can only change the position of a quarry’s stairs before confirming the task, by clicking the button in the options panel at the bottom of your screen.",Vous pouvez changer la position des escaliers dans une carrière avant d'avoir confirmé la tâche en cliquant sur l'option correspondante dans le menu contextuel au bas de votre écran.
##loading_tip_tunnels_direction,"You can make tunnels go upwards or downwards with the buttons in the options panel at the bottom of your screen, when in the Tunnel task.",Vous pouvez creuser des tunnels ascendants ou descendants en cliquant sur l'option correspondante dans le menu contextuel au bas de votre écran.
##loading_tip_xray,"Turn on X-Ray mode in the settings panel at the top right of your screen, then shift + scroll to see through buildings and mountains.",Activez le mode Rayon-X dans le panneau réglages en haut à droite de votre écran. Utilisez Shift + Roulette pour voir au travers des montagnes et des blocs.
##loading_tip_repair_task,Place a repair task on existing stone and wooden blocks to automatically have them repaired if they take damage.,Placez une tâche de réparation sur des blocs de pierre ou de bois pour qu'ils soient réparés en cas de dommages.
##loading_tip_missing_storage,"If your Bricktrons won’t work, make sure you have adequate storage ( empty stockpiles or weapon racks ).","Si vos Bricktrons refusent de travailler, assurez-vous d'avoir l'espace de rangement adéquat (palettes et râteliers)."
##loading_tip_toggle_artificer,Press H to toggle your Artificer between healing and attacking modes.,Appuyez sur H pour alterner entre le mode Guérison ou Attaque de l'Artificier.
##loading_tip_toggle_knight,"Press H to toggle your Knights between regular and defensive mode, where they can block projectiles.","Appuyez sur H pour alterner entre le mode Attaque ou Défense du chevalier, où ils peuvent bloquer les projectiles."
##loading_tip_funny_first_name,Bricktrons prefer to be called by their first name.,Les Bricktrons préfèrent être appellés par leur prénom.
##loading_tip_funny_reboot,"Once two bricktrons are friends, they are friends forever, or until you reboot your computer.","Lorsque deux Bricktrons deviennent amis, c'est pour la vie, ou jusqu'à ce que vous redémarriez votre ordinateur."
##loading_tip_funny_courtship,Bricktrons have subtle yet refined courtship rituals.,Le rituel de parade nuptiale des Bricktrons est à la fois raffiné et subtil.
##loading_tip_funny_high_tower,Bricktrons lost the ability to talk intelligibly after they built a tower a little too high.,Perdue fût la capacité des Bricktrons à parler de façon intelligible lorsqu'ils construisirent une tour un peu trop haute.
##loading_tip_funny_mirror_image,Bricktrons don't recognize their image in a mirror.,Les Bricktrons ne reconnaissent pas leur propre reflet dans le miroir.
##loading_tip_funny_bycocket,"The type of hats worn by bricktron archers is historically known as a bycocket. No kidding, look it up.",Le type de chapeau porté par les hallebardiers bricktrons est un chapel de Montauban. Sans blague.
##loading_tip_archers_range,Archers and arbalists gain a range buff when higher. Place them on top of your walls.,Les archers et arbalistes gagnent un bonus de portée lorsque perchés en hauteur. Placez les  sur vos murs.
##loading_tip_piemenu_stockpiles,Use the pie menu on stockpiles to restrict which resources go on them.,Utilisez le menu contextuel sur vos palettes pour restreindre les ressources qu'elles peuvent contenir.
##loading_tip_landscape,You can use the flatten task to flatten uneven areas.,Vous pouvez utiliser la tâche d'aplanissement pour aplanir du terrain inégal.
##loading_tip_braces,You can build longer wood beams if you use braces beneath the beams.,Vous pouvez construire des poutres plus longues si vous placez des équerres en dessous.
##loading_tip_funny_bougre,b0uGr3 waZ H3eR,b0uGr3 waZ H3eR
,,
RESOURCES,,
##resource_empty,Empty,Vide
##resource_empty_info,Empty,Vide
##resource_stoneblock,Brick,Brique
##resource_stoneblock_info,Main building block for castles.,Bloc principalement utilisé dans la construction de châteaux.
##resource_woodblock,Log,Bûche
##resource_woodblock_info,Can be turned into planks at a chopping block.,Peut être coupé en planches au bloc de coupe.
##resource_plankblock,Plank,Planche
##resource_plankblock_info,Main resource used to build wooden structures.,Principale ressource utilisée dans la construction de structures en bois.
##resource_stones,Stones,Garnottes
##resource_stones_info,Raw stone can be combined to form stone bricks or smelted into glass.,La garnotte peut être combinée en briques ou transformée en verre.
##resource_iron,Iron Ingot,Lingot de Fer
##resource_iron_info,"Can be forged into various equipment, including weapons, armor and cogs.","Peut être forgé en divers objets, incluant armes, armures et engrenages."
##resource_bluecrystal,Blue Crystal,Cristal Bleu
##resource_bluecrystal_info,Is it making a come back??,Y revient-tu ou y revient-tu pas??
##resource_orangecrystal,Brimstone,Soufre
##resource_orangecrystal_info,Serves as fuel for the furnace and is used in the concoction of explosives.,Sert de carburant pour la fournaise et dans la concoction d'explosifs.
##resource_sentinelward,Sentinel Ward,Balise Sentinelle
##resource_sentinelward_info,This ward will attack nearby enemies.,Cette balise attaque les ennemis à proximité.
##resource_healingward,Healing Ward,Balise de Guérison
##resource_healingward_info,Any Bricktron in this ward's radius of influence will be healed over time.,Les Bricktrons dans la sphère d'influence de cette balise reprennent des points de vie.
##resource_captureward,Capture Ward,Balise de Capture
##resource_captureward_info,Placing this ward besides a shard will ensure it's capture.,Placez cette balise à côté d'un fragment pour le capturer.
##resource_lanternward,Lantern Ward,Balise Lanterne
##resource_lanternward_info,This ward emits light. It will emit more light when connected to a power source.,Cette balise émet de la lumière. Elle va émettre plus de lumière lorsque connectée à un cristal.
##resource_pylonward,Pylon Ward,Balise Pylône
##resource_pylonward_info,This ward relays power to other wards.,Cette balise transmet de l'énergie à d'autres balises.
##resource_plant,Plant,Plante
##resource_plant_info,The fiber from plants can be refined into rope or fabric.,La fibre végétale extraite de ces plantes sert à fabriquer de la corde et du textile.
##resource_rope,Rope,Corde
##resource_rope_info,Is used in the fabrication of rope bridges and bows.,Utilisée dans la fabrication de ponts de corde et d'arcs.
##resource_fabric,Fabric,Textile
##resource_fabric_info,Is required for crafting most military equipment.,Requis pour fabriquer la plupart de l'équipement militaire.
##resource_rawiron,Raw Iron,Fer
##resource_rawiron_info,Unrefined iron ore which can be smelted into ingots.,Minerai non raffiné. Peut être fondu en lingots.
##resource_glass,Glass,Verre
##resource_glass_info,Used to craft the goods that come out of the laboratory.,Sert dans la production de biens au laboratoire.
##resource_cog,Cog,Engrenage
##resource_cog_info,Used to make the machine shop and crossbows.,Sert à fabriquer la manufacture et des arbalètes.
##resource_bomb,Bomb,Bombe
##resource_bomb_info,Serves as ammunition for the alchemist.,Sert de munition pour l'alchimiste.
##resource_explosivebarrel,Explosive Barrel,Baril Explosif
##resource_explosivebarrel_info,Serves as ammunition for the catapult.,Sert de munition pour la catapulte.
,,
RECIPES,,
##recipe_requires,Requires,Requiert
##recipe_none,None,Aucune
##recipe_none_info,None,Aucune
##recipe_ironingot,Iron Ingot,Lingot de Fer
##recipe_ironingot_info,"Can be forged into various equipment, including weapons, armor and cogs.","Peut être forgé en divers objets, incluant armes, armures et engrenages."
##recipe_glassingot,Glass,Verre
##recipe_glassingot_info,Used to craft the goods that come out of the laboratory.,Sert dans la production de biens au laboratoire.
##recipe_cog,Cog,Engrenage
##recipe_cog_info,Used to make the machine shop and crossbows.,Sert à fabriquer la manufacture et des arbalètes.
##recipe_bomb,Bomb,Bombe
##recipe_bomb_info,Serves as ammunition for the alchemist.,Sert de munition pour l'alchimiste.
##recipe_beartrap,Bear Trap,Piège à Ours
##recipe_beartrap_info,Bear traps will immobilize temporarily any enemy units that steps on it.,Le piège à ours immobilise temporairement quiconque met le pied dessus.
##recipe_explosivebarrel,Explosive Barrel,Baril Explosif
##recipe_explosivebarrel_info,Serves as ammunition for the catapult.,Sert de munition pour la catapulte.
##recipe_fabricpile,Fabric Roll,Rouleau de Textile
##recipe_fabricpile_info,Is required for crafting most military equipment.,Requis pour fabriquer la plupart de l'équipement militaire.
##recipe_ropeballot,Rope Coil,Ballot de Corde
##recipe_ropeballot_info,Is used in the fabrication of rope bridges and bows.,Utilisée dans la fabvrication de ponts de corde et d'arcs.
##recipe_planks,Planks,Planches
##recipe_planks_info,Main resource used to build wooden structures.,Principale ressource utilisée dans la construction de structures en bois.
##recipe_sentinelward,Sentinel Ward,Balise Sentinelle
##recipe_sentinelward_info,This ward will attack nearby enemies.,Cette balise attaque les ennemis à proximité.
##recipe_healingward,Healing Ward,Balise de Guérison
##recipe_healingward_info,Any Bricktron in this ward's radius of influence will be healed over time.,Les Bricktrons dans la sphère d'influence de cette balise reprennent des points de vie.
##recipe_captureward,Capture Ward,Balise de Capture
##recipe_captureward_info,Placing this ward besides a shard will ensure it's capture.,Placez cette balise à côté d'un fragment pour le capturer.
##recipe_lanternward,Lantern Ward,Balise Lanterne
##recipe_lanternward_info,This ward emits light. It will emit more light when connected to a power source.,Cette balise émet de la lumière. Elle va émettre plus de lumière lorsque connectée à un cristal.
##recipe_pylonward,Pylon Ward,Balise Pylône
##recipe_pylonward_info,This ward relays power to other wards.,Cette balise transmet de l'énergie à d'autres balises.
##recipe_sword,Sword,Épée
##recipe_sword_info,Part of the knight kit.,Partie intégrale du kit de chevalier.
##recipe_shield,Shield,Bouclier
##recipe_shield_info,Part of the knight kit.,Partie intégrale du kit de chevalier.
##recipe_helmet,Helmet,Armet Florentin
##recipe_helmet_info,Part of the knight kit.,Partie intégrale du kit de chevalier.
##recipe_bow,Bow,Arc
##recipe_bow_info,Part of the archer kit.,Partie intégrale du kit d'archer.
##recipe_quiver,Quiver,Carquois
##recipe_quiver_info,Part of the archer kit.,Partie intégrale du kit d'archer.
##recipe_cap,Cap,Chapeau
##recipe_cap_info,Part of the archer kit.,Partie intégrale du kit d'archer.
##recipe_arbalistweapon,Crossbow,Arbalète
##recipe_arbalistweapon_info,Part of the arbalist kit.,Partie intégrale du kit d'arbalétrier.
##recipe_arbalistpouch,BoltPouch,Carreaux
##recipe_arbalistpouch_info,Part of the arbalist kit.,Partie intégrale du kit d'arbalétrier.
##recipe_arbalistcap,Kepi,Kepi
##recipe_arbalistcap_info,Part of the arbalist kit.,Partie intégrale du kit d'arbalétrier.
##recipe_alchemistpouch,Pouch,Besace
##recipe_alchemistpouch_info,Part of the alchemist kit.,Partie intégrale du kit d'alchimiste.
##recipe_alchemisthat,Bonnet,Bonnet
##recipe_alchemisthat_info,Part of the alchemist kit.,Partie intégrale du kit d'alchimiste.
##recipe_artificerstaff,Staff,Bâton
##recipe_artificerstaff_info,Part of the artificer kit.,Partie intégrale du kit d'artificier.
##recipe_artificersatchel,Satchel,Sacoche
##recipe_artificersatchel_info,Part of the artificer kit.,Partie intégrale du kit d'artificier.
##recipe_artificerhat,Chapka,Chapka
##recipe_artificerhat_info,Part of the artificer kit.,Partie intégrale du kit d'artificier.
##recipe_poleaxe,Poleaxe,Hache D'Armes
##recipe_poleaxe_info,Part of the halberdier kit.,Partie intégrale du kit d'hallebardier.
##recipe_kettlehat,Kettle Hat,Chapel de Montauban
##recipe_kettlehat_info,Part of the halberdier kit.,Partie intégrale du kit d'hallebardier.
##recipe_knightkit,Knight Kit,Kit de Chevalier
##recipe_knightkit_info,"Knights are slow but robust melee units, their block ability excels against projectiles.",Les chevaliers sont de lentes mais robustes unités de mêlée qui excellent à bloquer les projectiles.
##recipe_archerkit,Archer Kit,Kit D'Archer
##recipe_archerkit_info,"Archers are inexpensive, versatile long range units.",Les archers sont des unités à longue portée versatiles et peu coûteuses.
##recipe_arbalistkit,Arbalist Kit,Kit D'Arbalétrier
##recipe_arbalistkit_info,"Arbalists are slower, but deal high damage at a very long range.","Les arbalétriers sont lents, mais infligent beacoup de dégâts à très longue portée."
##recipe_halberdierkit,Halberdier Kit,Kit D'Hallebardier
##recipe_halberdierkit_info,Halberdiers are inexpensive melee combatants with high speed.,Les hallebardiers sont des unités de mêlée rapides et peu coûteuses.
##recipe_alchemistkit,Alchemist Kit,Kit D'Alchimiste
##recipe_alchemistkit_info,Alchemists throw bombs that deal area of effect damage and break walls.,Les alchimistes lancent des bombes qui infligent des dégâts de zone et brisent les murs.
##recipe_artificerkit,Artificer Kit,Kit D'Artificier
##recipe_artificerkit_info,Artificers can either throw ranged projectiles with their staff or heal allies.,Les artificiers peuvent soit lancer des projectiles ou guérir leur alliés
,,
OPERABLES,,
##operable_craft,Craft,Fabriquer
##operable_resources_requirements,Required,Requis
##operable_resources_finished,Finished,Terminé
##operable_queue,Queue,File d'attente
##operable_queue_toggle_looping,Toggle Looping,Interrupteur de cyclage
##operable_queue_toggle_looping_info,The crafting station will produce the selected item indefinitely.,Cette station va produire l'item sélectionné indéfiniment.
##operable_queue_clear,Clear,Effacer
##operable_queue_clear_info,Empties the crafting station queue.,Vide la ligne de production.
##operable_furnace,Furnace,Fournaise
##operable_furnace_info,Allows Bricktrons to smelt.,Permet aux Bricktrons de fondre des métaux.
##operable_workbench,Workbench,Établi
##operable_workbench_info,"The workbench is used to craft lanterns, halberdier kits and archer kits.",L'établi permet de fabriquer des lanternes.
