Keys,French (Canada)
##gamemenu_actionwheel_unequipintorack_text,Déséquipe le Bricktron dans un râtelier.
##gamemenu_actionwheel_equiptools,S'Équiper d'Outils
##gamemenu_actionwheel_equiptools_text,S'équipe d'outils pour obtenir de nouvelles habiletés.
##gamemenu_actionwheel_unequiptools,Déséquiper Outils
##gamemenu_actionwheel_unequiptools_text,Laisse tomber son équipement pour devenir un travailleur.
##gamemenu_actionwheel_breakobject,Briser l'Objet
##gamemenu_actionwheel_breakobject_text,"Détruit cet objet, RAWRRR!"
##gamemenu_actionwheel_cuttree,Couper l'Arbre
##gamemenu_actionwheel_cuttree_text,Coupe cet arbre en 3 bûches.
##gamemenu_actionwheel_harvestrocks,Récolter Roche
##gamemenu_actionwheel_harvestrocks_text,Piochez sur ces roches pour en récolter des fragments.
##gamemenu_actionwheel_harvestcrystals,Récolter Cristaux
##gamemenu_actionwheel_harvestcrystals_text,Piochez sur ces minerais pour en récolter des fragments.
##gamemenu_actionwheel_harvestplants,Récolter Plantes
##gamemenu_actionwheel_harvestplants_text,Coupez ces plantes pour les récolter.
##gamemenu_actionwheel_armbeartrap,Armer Piège
##gamemenu_actionwheel_armbeartrap_text,Crinque le loquet à ressort du piège.
,
##gamemenu_stockpilewheel_autoconvertstone,Auto Conversion
##gamemenu_stockpilewheel_autoconvertstone_text,La roche sera automatiquement convertie en blocs de pierre.
##gamemenu_stockpilewheel_manualconvert,Conversion Manuelle
##gamemenu_stockpilewheel_acceptnone,Garder Vide
##gamemenu_stockpilewheel_acceptnone_text,Vos Bricktrons ignoreront cette palette
##gamemenu_stockpilewheel_acceptall,Tout Accepter
##gamemenu_stockpilewheel_acceptall_text,Cette palette accepte toutes les ressources
,
##gamemenu_stockpilewheel_exclusivity_hub,Accepter Seulement
##gamemenu_stockpilewheel_exclusivity_hub_text,Voir toutes les ressources brutes
,
##gamemenu_stockpilewheel_stone,Pierre
##gamemenu_stockpilewheel_stone_text,Accepte seulement la pierre
##gamemenu_stockpilewheel_brick,Brique
##gamemenu_stockpilewheel_brick_text,Accepte seulement les briques
##gamemenu_stockpilewheel_wood,Bois
##gamemenu_stockpilewheel_wood_text,Accepte seulement les billots de bois
##gamemenu_stockpilewheel_plank,Planche
##gamemenu_stockpilewheel_plank_text,Accepte seulement les planches
##gamemenu_stockpilewheel_plant,Plante
##gamemenu_stockpilewheel_plant_text,Accepte seulement les plantes
##gamemenu_stockpilewheel_iron,Fer
##gamemenu_stockpilewheel_iron_text,Accepte seulement le fer
##gamemenu_stockpilewheel_brimstone,Soufre
##gamemenu_stockpilewheel_brimstone_text,Accepte seulement le soufre
##gamemenu_stockpilewheel_bluecrystal,Crystal Bleu
##gamemenu_stockpilewheel_bluecrystal_text,Accepte seulement le cristal bleu
##gamemenu_stockpilewheel_iron_ingot,Lingot de Fer
##gamemenu_stockpilewheel_iron_ingot_text,Accepte seulement les lingots de fer
##gamemenu_stockpilewheel_rope,Corde
##gamemenu_stockpilewheel_rope_text,Accepte seulement les ballots de corde
##gamemenu_stockpilewheel_fabric,Textile
##gamemenu_stockpilewheel_fabric_text,Accepte seulement les rouleaux de textile
##gamemenu_stockpilewheel_glass,Verre
##gamemenu_stockpilewheel_glass_text,Accepte seulement les blocs de verre
##gamemenu_stockpilewheel_cog,Engrenage
##gamemenu_stockpilewheel_cog_text,Accepte seulement les engranages
##gamemenu_stockpilewheel_bomb,Bombe
##gamemenu_stockpilewheel_bomb_text,Accepte seulement les bombes
##gamemenu_stockpilewheel_explosivebarrel,Baril Explosif
##gamemenu_stockpilewheel_explosivebarrel_text,Accepte seulement les barils explosifs
,
##gamemenu_stockpilewheel_sentinel_ward,Balise Sentinelle
##gamemenu_stockpilewheel_sentinel_ward_text,Accepte seulement les balises sentinelles
##gamemenu_stockpilewheel_healing_ward,Balise de Guérison
##gamemenu_stockpilewheel_healing_ward_text,Accepte seulement les balises de guérison
##gamemenu_stockpilewheel_lantern_ward,Balise Lanterne
##gamemenu_stockpilewheel_lantern_ward_text,Accepte seulement les balises lanternes
##gamemenu_stockpilewheel_capture_ward,Balise de Capture
##gamemenu_stockpilewheel_capture_ward_text,Accepte seulement les balises de capture
##gamemenu_stockpilewheel_pylon_ward,Balise de Relais
##gamemenu_stockpilewheel_pylon_ward_text,Accepte seulement les balises de relais
##gamemenu_stockpilewheel_trap,Pière à Ours
##gamemenu_stockpilewheel_trap_text,Accepte seulement les pièges à ours
,
,
##gamemenu_crystalwheel_spawnworker,Invoquer Ouvrier
##gamemenu_crystalwheel_spawnworker_text,Utilise de l'énergie pour invoquer un travailleur Bricktron.
##gamemenu_crystalwheel_recallworkers,Rappel
##gamemenu_crystalwheel_recallworkers_text,Donne l'ordre aux travailleurs de retourner rapidement à leur cristal principal.
##gamemenu_crystalwheel_calltoarms,Aux Armes!
##gamemenu_crystalwheel_calltoarms_text,Ordonne aux ouvriers de s'armer pour défendre leur territoire
##gamemenu_crystalwheel_backtowork,Retour au Travail
##gamemenu_crystalwheel_backtowork_text,Ordonne à vos Bricktrons de déposer leur équipement dans un râtelier
,
##gamemenu_doorwheel_lock,Barrer
##gamemenu_doorwheel_lock_text,Barre cette porte pour protéger vos Bricktrons.
##gamemenu_doorwheel_unlock,Débarrer
##gamemenu_doorwheel_unlock_text,Débarre cette porte pour laisser passer vos Bricktrons.
,
##gamemenu_catapultwheel_cleartarget,Désengager
##gamemenu_catapultwheel_cleartarget_text,Annule les ordres d'exécution de la catapulte.
##gamemenu_catapultwheel_settarget,Cibler
##gamemenu_catapultwheel_settarget_text,Cliquez sur un emplacement pour en faire la cible de la catapulte.
##gamemenu_catapultwheel_fire,Tirer
##gamemenu_catapultwheel_fire_text,Lance le projectile de la catapulte en l'air.
##gamemenu_catapultwheel_holdfire,Cessez le Feu
##gamemenu_catapultwheel_holdfire_text,Se retient de tirer.
##gamemenu_catapultwheel_fireonce,Tirer une Seule Fois
##gamemenu_catapultwheel_fireonce_text,Tire un seul projectile.
##gamemenu_catapultwheel_fireatwill,Feu à Volonté
##gamemenu_catapultwheel_fireatwill_text,Recharge et tire chaque baril à proximité.
##gamemenu_catapultwheel_assignto,Assigner À
##gamemenu_catapultwheel_assignto_text,Assigne un Bicktron pour opérer cette catapulte.
##gamemenu_catapultwheel_load,Charger
##gamemenu_catapultwheel_load_text,Charge la catapulte avec des munitions.
##gamemenu_catapultwheel_unload,Décharger
##gamemenu_catapultwheel_unload_text,Décharge les munitions de la catapulte.
##gamemenu_catapultwheel_work,Crinquer et Viser
##gamemenu_catapultwheel_work_text,Prépare la catapulte à tirer.
,
##gamemenu_generictaskwheel_selectworkers,Sélectionner les Travailleurs
##gamemenu_generictaskwheel_selectworkers_text,Sélectionne tous les Bricktrons sur cette tâche.
##gamemenu_generictaskwheel_removeworkers,Retirer les Travailleurs
##gamemenu_generictaskwheel_removeworkers_text,Retire tous les Bricktrons de cette tâche.
##gamemenu_generictaskwheel_deletetask,Supprimer la Tâche
##gamemenu_generictaskwheel_deletetask_text,Supprime la tâche sélectionnée.
,
##gamemenu_toolrackwheel_exclusivityhub,Accepte seulement
##gamemenu_toolrackwheel_exclusive_none,Garder vide
##gamemenu_toolrackwheel_exclusive_none_text,Ignorer ce râtelier
##gamemenu_toolrackwheel_exclusive_all,Tout accepter
##gamemenu_toolrackwheel_exclusive_all_text,Enlever toute restriction sur ce râtelier
##gamemenu_toolrackwheel_exclusive_knight,Chevalier
##gamemenu_toolrackwheel_exclusive_knight_text,N'entrepose que des kits de chevalier
##gamemenu_toolrackwheel_exclusive_archer,Archer
##gamemenu_toolrackwheel_exclusive_archer_text,N'entrepose que des kits d'archer
##gamemenu_toolrackwheel_exclusive_arbalest,Arbalétrier
##gamemenu_toolrackwheel_exclusive_arbalest_text,N'entrepose que des kits d'arbalétrier
##gamemenu_toolrackwheel_exclusive_geomancer,Artificier
##gamemenu_toolrackwheel_exclusive_geomancer_text,N'entrepose que des kits d'artificier
##gamemenu_toolrackwheel_exclusive_alchemist,Alchimiste
##gamemenu_toolrackwheel_exclusive_alchemist_text,N'entrepose que des kits d'alchimiste
##gamemenu_toolrackwheel_exclusive_halberdier,Hallebardier
##gamemenu_toolrackwheel_exclusive_halberdier_text,N'entrepose que des kits d'hallebardier
,
##gamemenu_selecttaskwheel_repairtask,Réparation
##gamemenu_selecttaskwheel_repairtask_text,Répare toutes les briques dans les environs.
##gamemenu_selecttaskwheel_landscapetask,Aplanir
##gamemenu_selecttaskwheel_landscapetask_text,Aplanit le terrain.
##gamemenu_selecttaskwheel_constructiontask,Construction
##gamemenu_selecttaskwheel_constructiontask_text,Construisez des structures et placez des blocs.
##gamemenu_selecttaskwheel_quarry,Excavation
##gamemenu_selecttaskwheel_quarry_text,Extrait de la pierre du sol.
##gamemenu_selecttaskwheel_harvestask,Récolte
##gamemenu_selecttaskwheel_harvestask_text,Récolte des ressources et les stockent sur des palettes.
##gamemenu_selecttaskwheel_cleaningtask,Ménage
##gamemenu_selecttaskwheel_cleaningtask_text,Ramasse les ressources qui gisent sur le sol.
##gamemenu_selecttaskwheel_tunnel,Tunnel
##gamemenu_selecttaskwheel_tunnel_text,Extrait de la pierre des murs et des collines.
##gamemenu_selecttaskwheel_deselectgroup,Désélectionner
##gamemenu_selecttaskwheel_deselectgroup_text,Désélectionne le groupe actuel.
,
##gamemenu_constructionwheel_brickshub,Maçonnerie
##gamemenu_constructionwheel_brickshub_text,Contient des variantes de blocs tels que des escaliers et des piliers.
##gamemenu_constructionwheel_brick,Brique
##gamemenu_constructionwheel_brick_text,La brique standard 1 par 2 utilisée pour construire des murs.
##gamemenu_constructionwheel_halfbrick,Demi Brique
##gamemenu_constructionwheel_halfbrick_text,Un bloc 1 par 1 utilisé pour boucher des trous dans les murs.
##gamemenu_constructionwheel_arch,Arche
##gamemenu_constructionwheel_arch_text,Les Bricktrons peuvent passer en dessous ou au dessus.
##gamemenu_constructionwheel_stair,Brique Escalier
##gamemenu_constructionwheel_stair_text,Permet de construire en hauteur.
##gamemenu_constructionwheel_stairsingle,Bloc Escalier
##gamemenu_constructionwheel_stairsingle_text,Seulement les marches d'une brique escalier.
##gamemenu_constructionwheel_stairspiralleft,Colimaçon Gauche
##gamemenu_constructionwheel_stairspiralleft_text,Une brique d'escalier en colimaçon.
##gamemenu_constructionwheel_stairspiralright,Colimaçon Droit
##gamemenu_constructionwheel_stairspiralright_text,Une brique d'escalier en colimaçon.
##gamemenu_constructionwheel_staircornerleft,Escalier en Coin Gauche
##gamemenu_constructionwheel_staircornerleft_text,Une brique d'escalier en coin.
##gamemenu_constructionwheel_staircornerright,Escalier en Coin Droit
##gamemenu_constructionwheel_staircornerright_text,Une brique d'escalier en coin.
##gamemenu_constructionwheel_staircornersingle,Bloc Escalier en Coin Intérieur
##gamemenu_constructionwheel_staircornersingle_text,Seulement les marches d'une brique d'escalier en coin.
##gamemenu_constructionwheel_invertstaircornersingle,Bloc Escalier en Coin Extérieur
##gamemenu_constructionwheel_invertstaircornersingle_text,Un bloc pour les coins extérieurs d'escalier
##gamemenu_constructionwheel_curvedright,Courbe à Droite
##gamemenu_constructionwheel_curvedright_text,Une brique 1 par 2 courbée vers la droite.
##gamemenu_constructionwheel_curvedleft,Courbe à Gauche
##gamemenu_constructionwheel_curvedleft_text,Une brique 1 par 2 courbée vers la gauche.
##gamemenu_constructionwheel_curvedbrick,Brique Courbée
##gamemenu_constructionwheel_curvedbrick_text,Une brique 1 par 2 courbée.
##gamemenu_constructionwheel_stonecolumn_basic,Colonne de Pierre
##gamemenu_constructionwheel_stonecolumn_basic_text,Le bloc recommandé pour du support solide.
##gamemenu_constructionwheel_stonecolumn_fluted,Colonne Flutée
##gamemenu_constructionwheel_stonecolumn_fluted_text,Cette colonne flutée est typique de la période hellenistique.
##gamemenu_constructionwheel_stonecolumn_pillar,Pilier de Pierre
##gamemenu_constructionwheel_stonecolumn_pillar_text,Un pilier de pierre grossièrement sculpté. Ça fait la job.
##gamemenu_constructionwheel_stonecolumn_round,Colonne Ronde
##gamemenu_constructionwheel_stonecolumn_round_text,Colonne circulaire à l'assise arroundie.
##gamemenu_constructionwheel_stonecolumn_square,Colonne Carré
##gamemenu_constructionwheel_stonecolumn_square_text,Pilier de pierre à la coupe plus svelte.
##gamemenu_constructionwheel_roundbrick,Coin Rond
##gamemenu_constructionwheel_roundbrick_text,Une brique 1 par 1 courbée.
##gamemenu_constructionwheel_plugx,Mortaise en X
##gamemenu_constructionwheel_plugx_text,Briques réceptacles pour poutres en bois.
##gamemenu_constructionwheel_plugh,Mortaise en H
##gamemenu_constructionwheel_plugh_text,Briques réceptacles pour poutres en bois.
##gamemenu_constructionwheel_plugl,Mortaise en L
##gamemenu_constructionwheel_plugl_text,Briques réceptacles pour poutres en bois.
##gamemenu_constructionwheel_plugt,Mortaise en T
##gamemenu_constructionwheel_plugt_text,Briques réceptacles pour poutres en bois.
##gamemenu_constructionwheel_plug,Mortaise
##gamemenu_constructionwheel_plug_text,Briques réceptacles pour poutres en bois.
##gamemenu_constructionwheel_merlon,Merlon
##gamemenu_constructionwheel_merlon_text,Un Merlon sépare deux créneaux dans une fortification.
##gamemenu_constructionwheel_merloncorner,Merlon en Coin
##gamemenu_constructionwheel_merloncorner_text,Un Merlon en coin.
##gamemenu_constructionwheel_merlondouble,Merlon Double
##gamemenu_constructionwheel_merlondouble_text,Un Merlon plus large.
##gamemenu_constructionwheel_merlonconcave,Merlon Concave
##gamemenu_constructionwheel_merlonconcave_text,Un Merlon en coin concave.
##gamemenu_constructionwheel_corbel1,Corbeau 1
##gamemenu_constructionwheel_corbel1_text,Un bloc de support ornemental.
##gamemenu_constructionwheel_corbel2,Corbeau 2
##gamemenu_constructionwheel_corbel2_text,Un bloc de support ornemental.
##gamemenu_constructionwheel_parapet1,Parapet 1
##gamemenu_constructionwheel_parapet1_text,Bloc qui sert de bordure de toit.
##gamemenu_constructionwheel_parapet2,Parapet 2
##gamemenu_constructionwheel_parapet2_text,Bloc qui sert de bordure de toit.
##gamemenu_constructionwheel_parapet3,Parapet 3
##gamemenu_constructionwheel_parapet3_text,Bloc qui sert de bordure de toit.
,
,
,
##gamemenu_constructionwheel_craftinghub,Artisanat
##gamemenu_constructionwheel_craftinghub_text,Construisez des stations d'artisanat.
##gamemenu_constructionwheel_explosivebarrel,Baril Explosif
##gamemenu_constructionwheel_explosivebarrel_text,Un baril rempli de soufre qui peut exploser.
##gamemenu_constructionwheel_beartrap,Piège à Ours
##gamemenu_constructionwheel_beartrap_text,Un piège à ours ou à Corruptrons.
##gamemenu_constructionwheel_structurehub,Structures
##gamemenu_constructionwheel_structurehub_text,Construisez des portes et des catapultes.
##gamemenu_constructionwheel_choppingblock,Bloc de coupe
##gamemenu_constructionwheel_choppingblock_text,Permet de transformer du bois brut en planches.
##gamemenu_constructionwheel_workbench,Établi
##gamemenu_constructionwheel_workbench_text,Permet de fabriquer des kits d'archer et d'hallebardier
##gamemenu_constructionwheel_furnace,Fournaise
##gamemenu_constructionwheel_furnace_text,Permet de fondre des matériaux en biens.
##gamemenu_constructionwheel_toolrack,Râtelier
##gamemenu_constructionwheel_toolrack_text,Entrepose de l'équipement.
##gamemenu_constructionwheel_loom,Métier à Tisser
##gamemenu_constructionwheel_loom_text,Permet de fabriquer de la corde et du textile.
##gamemenu_constructionwheel_forge,Forge
##gamemenu_constructionwheel_forge_text,Sert à fabriquer de l'équipement pour chevalier.
##gamemenu_constructionwheel_machineshop,Manufacture
##gamemenu_constructionwheel_machineshop_text,Permet la construction d'équipement mécanique tel des kits d'arbalétriers.
##gamemenu_constructionwheel_altar,Autel
##gamemenu_constructionwheel_altar_text,Permet de fabriquer l'équipement d'artificier.
##gamemenu_constructionwheel_laboratory,Laboratoire
##gamemenu_constructionwheel_laboratory_text,Expérimentez avec des substances explosives sur cette station.
##gamemenu_constructionwheel_ropebridge,Pont de Corde
##gamemenu_constructionwheel_ropebridge_text,Pont flexible qui relie deux escarpements.
##gamemenu_constructionwheel_catapult,Catapulte
##gamemenu_constructionwheel_catapult_text,Lance des barils explosifs.
##gamemenu_constructionwheel_door,Porte
##gamemenu_constructionwheel_door_text,Les portes peuvent être barrées pour bloquer le chemin.
##gamemenu_constructionwheel_shakydoor,Porte Déglinguée
##gamemenu_constructionwheel_shakydoor_text,Porte brinquebalante à l'intégrité structurelle discutable.
##gamemenu_constructionwheel_heavydoor,Porte Renforcée
##gamemenu_constructionwheel_heavydoor_text,Porte renforcée de supports et charnières métalliques. Du solide.
##gamemenu_constructionwheel_window,Fenêtre
##gamemenu_constructionwheel_window_text,Permet aux Bricktrons de voir à l'extérieur de leur forteresse.
##gamemenu_constructionwheel_doublewindow,Fenêtre Double
##gamemenu_constructionwheel_doublewindow_text,Laisse entrer beaucoup de lumière.
##gamemenu_constructionwheel_stockpile,Palette
##gamemenu_constructionwheel_stockpile_text,Les palettes servent à entreposer des ressources.
##gamemenu_constructionwheel_healingward,Balise de Guérison
##gamemenu_constructionwheel_healingward_text,"Projete un aura de guérison sur les alliés à proximité.
<color=yellow> 1 lingot de fer + 20 soufre </color>"
##gamemenu_constructionwheel_sentinelward,Balise Sentinelle
##gamemenu_constructionwheel_sentinelward_text,"Attaque les ennemis avec des feux-follets.
<color=yellow> 1 lingot de fer + 40 soufre </color>"
##gamemenu_constructionwheel_lanternward,Balise Lanterne
##gamemenu_constructionwheel_lanternward_text,Révèle et illumine les environs. <color=yellow> 1 lingot de fer + 5 soufre </color>
##gamemenu_constructionwheel_pylonward,Balise de Relais
##gamemenu_constructionwheel_pylonward_text,Transmet de l'énergie entre le cristal et les balises. <color=yellow> 1 lingot de fer + 10 soufre </color>
##gamemenu_constructionwheel_captureward,Balise de Capture
##gamemenu_constructionwheel_captureward_text,"Capture les cristaux et fragments à proximité.
<color=yellow> 1 lingot de fer + 40 soufre </color>"
##gamemenu_constructionwheel_knightstatue,Statue de Chevalier
##gamemenu_constructionwheel_knightstatue_text,Une statue à l'effigie du courage et de la ténacité caractéristiques des Bricktrons.
##gamemenu_constructionwheel_paintingsmall,Petit Tableau
##gamemenu_constructionwheel_paintingsmall_text,Ce château témoigne du caractère industrieux des Bricktrons.
##gamemenu_constructionwheel_paintingbig,Grand Tableau
##gamemenu_constructionwheel_paintingbig_text,Paysage peint par le célèbre peintre Bricktron Ross.
##gamemenu_constructionwheel_paintingwide,Paysage
##gamemenu_constructionwheel_paintingwide_text,Ces massives statues ont confondues les archéologues bricktrons pendant des décénnies.
##gamemenu_constructionwheel_paintingtall,Portrait
##gamemenu_constructionwheel_paintingtall_text,Un Bricktron dans son habitat naturel.
,
##gamemenu_constructionwheel_woodhub,Bois D'Oeuvre
##gamemenu_constructionwheel_woodhub_text,Construisez des billots et des planches.
##gamemenu_constructionwheel_scaffolding,Échaffaudages
##gamemenu_constructionwheel_log,Billot
##gamemenu_constructionwheel_log_text,Une colonne en bois pour bâtir des échafaudages.
##gamemenu_constructionwheel_brace,Équerre
##gamemenu_constructionwheel_brace_text,Une équerre augmente la portée d'une poutre de 4 unités
##gamemenu_constructionwheel_woodcolumn,Colonne de Bois
##gamemenu_constructionwheel_woodcolumn_text,Servent à supporter des échaffaudages.
##gamemenu_constructionwheel_beam,Poutre
##gamemenu_constructionwheel_beam_text,Les poutres permettent de bâtir des plateformes plus longues.
##gamemenu_constructionwheel_plank,Planche
##gamemenu_constructionwheel_plank_text,Les planches permettent de bâtir de solides plateformes rapidement.
##gamemenu_constructionwheel_ramp,Rampe
##gamemenu_constructionwheel_ramp_text,Permet une transition de niveau entre 2 plateformes.
##gamemenu_constructionwheel_rampjunction,Jonction de Rampe
##gamemenu_constructionwheel_rampjunction_text,Transition entre rampe et planche.
##gamemenu_constructionwheel_applychanges,Appliquer les Changements
##gamemenu_constructionwheel_applychanges_text,Applique les derniers changements à la tâche actuelle.
,
,
##gamemenu_craftingwheel_nothing,Arrêter
##gamemenu_craftingwheel_nothing_text,Vide la file de production et arrête les travaux en cours
##gamemenu_craftingwheel_produce_planks,Planches
##gamemenu_craftingwheel_produce_planks_text,Transforme du bois en planches
##gamemenu_craftingwheel_produce_iron,Lingots de Fer
##gamemenu_craftingwheel_produce_iron_text,Transforme du fer en lingots
##gamemenu_craftingwheel_produce_glass,Blocs de Verre
##gamemenu_craftingwheel_produce_glass_text,Transforme de la roche en verre
,
##gamemenu_craftingwheel_queue_sword,Ajouter une Épée
##gamemenu_craftingwheel_queue_sword_text,Ordonne la fabrication d'une épée
##gamemenu_craftingwheel_queue_helmet,Ajouter un Casque
##gamemenu_craftingwheel_queue_helmet_text,Ordonne la fabrication d'un casque
##gamemenu_craftingwheel_queue_shield,Ajouter un Bouclier
##gamemenu_craftingwheel_queue_shield_text,Ordonne la fabrication d'un bouclier
##gamemenu_craftingwheel_queue_bow,Ajouter un Arc
##gamemenu_craftingwheel_queue_bow_text,Ordonne la fabrication d'un arc
##gamemenu_craftingwheel_queue_quiver,Ajouter un Carquois
##gamemenu_craftingwheel_queue_quiver_text,Ordonne la fabrication d'un carquois
##gamemenu_craftingwheel_queue_cap,Ajouter un Chapeau
##gamemenu_craftingwheel_queue_cap_text,Ordonne la fabrication d'un chapeau
##gamemenu_craftingwheel_queue_halberdierkit,Kit de Hallebardier
##gamemenu_craftingwheel_queue_halberdierkit_text,"Unité au corps-à-corps rapide
<color=yellow> 1 lingots de fer + 1 planche </color>"
##gamemenu_craftingwheel_queue_knightkit,Kit de Chevalier
##gamemenu_craftingwheel_queue_knightkit_text,"Unité au corps-à-corps avec de bonnes défenses
<color=yellow> 5 lingots de fer </color>"
##gamemenu_craftingwheel_queue_archerkit,Kit d'Archer
##gamemenu_craftingwheel_queue_archerkit_text,Unité d'attaque à longue portée rapide<color=yellow> 1 textile + 2 planches + 1 corde </color>
##gamemenu_craftingwheel_queue_crossbowtronkit,Kit d'Arbalétrier
##gamemenu_craftingwheel_queue_crossbowtronkit_text,Unité à courte portée durable et puissante <color=yellow> 2 engrenages + 2 fer + 1 corde + 1 textile </color>
##gamemenu_craftingwheel_queue_geomancerkit,Kit d'Artificier
##gamemenu_craftingwheel_queue_geomancerkit_text,Guérisseur <color=yellow> 1 fer + 80 soufre + 2 textile + 1 verre + 1 planche</color>
##gamemenu_craftingwheel_queue_alchemistkit,Kit d'Alchimiste
##gamemenu_craftingwheel_queue_alchemistkit_text,Bombarde les ennemis. <color=yellow> 3 textile + 30 soufre + 3 blocs de verre </color>
,
##gamemenu_craftingwheel_produce_rope,Ballot de Corde
##gamemenu_craftingwheel_produce_rope_text,"Transforme les plantes en corde
<color=yellow> 10 plantes </color>"
##gamemenu_craftingwheel_produce_fabric,Rouleau de Textile
##gamemenu_craftingwheel_produce_fabric_text,"Transforme les plantes en textiles
<color=yellow> 10 plantes </color>"
##gamemenu_craftingwheel_produce_cog,Engrenage
##gamemenu_craftingwheel_produce_cog_text,"Transforme des lingots de fer en engrenages
<color=yellow> 1 lingot de fer </color>"
##gamemenu_craftingwheel_produce_bomb,Bombe
##gamemenu_craftingwheel_produce_bomb_text,"Construit des bombes
<color=yellow> 15 soufre </color>"
##gamemenu_craftingwheel_queue_beartrap,Pière à Ours
##gamemenu_craftingwheel_queue_beartrap_text,"Un piège à ours ou à Corruptrons.
<color=yellow> 1 lingot de fer</color>"
##gamemenu_craftingwheel_queue_explosivebarrel,Baril explosif
##gamemenu_craftingwheel_queue_explosivebarrel_text,"Utilisé comme projectile pour la catapulte.
<color=yellow> 1 planche + 10 soufre</color>"
,
##gamemenu_craftingwheel_clearqueue,Vider la File
##gamemenu_craftingwheel_clearqueue_text,Vide la file de production
##gamemenu_craftingwheel_assignto,Assigner
##gamemenu_craftingwheel_assignto_text,Opère cette station
##gamemenu_craftingwheel_work,Travaille
##gamemenu_craftingwheel_work_text,Commence la production
##gamemenu_craftingwheel_production,Ramasser
##gamemenu_craftingwheel_production_text,Prend les biens produits dans son sac
##gamemenu_craftingwheel_add,Ajouter
##gamemenu_craftingwheel_add_text,Ajoute le contenu de son sac à la station
##gamemenu_craftingwheel_take,Ramasser
##gamemenu_craftingwheel_take_text,Prend les ressources dans son sac
,
##cursortip_beartrap,Piège à Ours
##cursortip_explosivebarrel,Baril Explosif
##cursortip_catapult,Catapulte
##cursortip_door,Porte
##cursortip_stockpile,Palette
##cursortip_weaponstand,Râtelier
##cursortip_captureward,Balise de Capture
##cursortip_healingward,Balise de Guérison
##cursortip_lanternward,Balise Lanterne
##cursortip_sentinelward,Balise Sentinelle
##cursortip_pylonward,Balise Pylône
##cursortip_altar,Autel
##cursortip_loom,Métier à Tisser
##cursortip_furnace,Fournaise
##cursortip_forge,Forge
##cursortip_lab,Laboratoire
##cursortip_machineshop,Manufacture
##cursortip_choppingblock,Bloc de Coupe
##cursortip_workbench,Établi
##cursortip_ropebridge,Pont de Corde
,
TASKBAR,
##gamemenu_taskbar_newtask,Nouvelle Tâche
##gamemenu_taskbar_tasknumber,Tâches:
##gamemenu_taskbar_idle,Ne Rien Faire
##gamemenu_taskbar_construction,Construction
##gamemenu_taskbar_maintenancetasks,Tâches d'Entretien
##gamemenu_taskbar_miningtasks,Tâches d'Extraction
##gamemenu_taskbar_harvesttasks,Tâches de Récolte
##gamemenu_taskbar_constructiontasks,Tâches de Construction
##gamemenu_taskbar_harvest,Récolte
##gamemenu_taskbar_cleaning,Ménage
##gamemenu_taskbar_tunnel,Tunnel
##gamemenu_taskbar_repair,Réparation
##gamemenu_taskbar_landscape,Aplanir
##gamemenu_taskbar_quarry,Excavation
##gamemenu_taskbar_blueprints,Plans
##gamemenu_taskbar_storage,Entreposage
##gamemenu_taskbar_production,Production
##gamemenu_taskbar_crafting,Artisanat
##gamemenu_taskbar_structures,Structures
##gamemenu_taskbar_wards,Balises
##gamemenu_taskbar_decorations,Décorations
##gamemenu_taskbar_woodblocks,Blocs de Bois
##gamemenu_taskbar_blocks,Blocs
##gamemenu_taskbar_stoneblocks,Blocs de Pierre
##gamemenu_taskbar_roundbricks,Briques Rondes
##gamemenu_taskbar_crenelations,Créneaux
##gamemenu_taskbar_plugs,Mortaises
##gamemenu_taskbar_blueprints_operation,opération
##gamemenu_taskbar_blueprints_move,Bouger
##gamemenu_taskbar_blueprints_copy,Copier
##gamemenu_taskbar_blueprints_split,Séparer
##gamemenu_taskbar_blueprints_delete,Supprimer
##gamemenu_taskbar_blueprints_selection,Sélection
##gamemenu_taskbar_blueprints_expand,Agrandir
##gamemenu_taskbar_blueprints_clear,Réinitialiser
##gamemenu_taskbar_blueprintactions,Sauvegarder la sélection
##gamemenu_taskbar_blueprintssaved,Archive des plans
##gamemenu_taskbar_loadblueprint,Charger le plan
##gamemenu_taskbar_publishblueprint,Publier au Workshop
##gamemenu_taskbar_blueprintpublished,Plan publié au Workshop
##gamemenu_taskbar_blueprintdelete,Supprimer le plan
,
##gamemenu_taskbar_goals,Objectifs
##gamemenu_taskbar_stairs,Escaliers
##gamemenu_taskbar_boulders,Pierres
##gamemenu_taskbar_iron,Fer
##gamemenu_taskbar_brimstone,Soufre
##gamemenu_taskbar_trees,Arbres
##gamemenu_taskbar_plants,Plantes
##gamemenu_taskbar_raiseall,Niveler par le Haut
##gamemenu_taskbar_digall,Niveler par le Bas
##gamemenu_taskbar_stairs,Escaliers
##gamemenu_taskbar_tunnel_straight,Ligne Droite
##gamemenu_taskbar_tunnel_up,Haut
##gamemenu_taskbar_tunnel_down,Bas
##gamemenu_taskbar_build,Construction
##gamemenu_taskbar_structures,Structures
##gamemenu_taskbar_status_ok,Commettre
##gamemenu_taskbar_status_apply,Appliquer
##gamemenu_taskbar_status_cancel,Annuler
##gamemenu_taskbar_status_delete,Effacer
##gamemenu_taskbar_deletetask,Supprimer la Tâche
##gamemenu_taskbar_required,Requis
