Keys,English (Canada)
##gamemenu_constructionwheel_stonecolumn_fluted,Fluted Column
##gamemenu_constructionwheel_stonecolumn_fluted_text,This fluted column's style is characteristic of the hellenistic period.
##gamemenu_constructionwheel_stonecolumn_pillar,Stone Pillar
##gamemenu_constructionwheel_stonecolumn_pillar_text,A roughly sculpted block of stone. Gets the job done.
##gamemenu_constructionwheel_stonecolumn_round,Round Column
##gamemenu_constructionwheel_stonecolumn_round_text,"Like the standard stone column, but rounded at the ends."
##gamemenu_constructionwheel_stonecolumn_square,Square Column
##gamemenu_constructionwheel_stonecolumn_square_text,Slimmer version of the stone pillar.
##gamemenu_constructionwheel_roundbrick,Corner Brick
##gamemenu_constructionwheel_roundbrick_text,A curved 1 by 1 block used to patch walls.
##gamemenu_constructionwheel_plugx,Plug X
##gamemenu_constructionwheel_plugx_text,Bricks for plugging wooden beams on.
##gamemenu_constructionwheel_plugh,Plug H
##gamemenu_constructionwheel_plugh_text,Bricks for plugging wooden beams on.
##gamemenu_constructionwheel_plugl,Plug L
##gamemenu_constructionwheel_plugl_text,Bricks for plugging wooden beams on.
##gamemenu_constructionwheel_plugt,Plug T
##gamemenu_constructionwheel_plugt_text,Bricks for plugging wooden beams on.
##gamemenu_constructionwheel_plug,Plug
##gamemenu_constructionwheel_plug_text,Bricks for plugging wooden beams on.
##gamemenu_constructionwheel_merlon,Merlon
##gamemenu_constructionwheel_merlon_text,A Merlon separates crenels in fortifications.
##gamemenu_constructionwheel_merloncorner,Merlon Corner
##gamemenu_constructionwheel_merloncorner_text,A Merlon corner.
##gamemenu_constructionwheel_merlondouble,Double Merlon
##gamemenu_constructionwheel_merlondouble_text,A wider Merlon.
##gamemenu_constructionwheel_merlonconcave,Concave Merlon
##gamemenu_constructionwheel_merlonconcave_text,A Merlon for a concave corner.
##gamemenu_constructionwheel_corbel1,Corbel 1
##gamemenu_constructionwheel_corbel1_text,An ornamental support block.
##gamemenu_constructionwheel_corbel2,Corbel 2
##gamemenu_constructionwheel_corbel2_text,An ornamental support block.
##gamemenu_constructionwheel_parapet1,Parapet 1
##gamemenu_constructionwheel_parapet1_text,Block with a small roof section attached.
##gamemenu_constructionwheel_parapet2,Parapet 2
##gamemenu_constructionwheel_parapet2_text,Block with a small roof section attached.
##gamemenu_constructionwheel_parapet3,Parapet 3
##gamemenu_constructionwheel_parapet3_text,Block with a small roof section attached.
,
,
,
##gamemenu_constructionwheel_craftinghub,Crafting Hub
##gamemenu_constructionwheel_craftinghub_text,Build crafting stations.
##gamemenu_constructionwheel_explosivebarrel,Explosive Barrel
##gamemenu_constructionwheel_explosivebarrel_text,A barrel filled with brimstone that can detonated.
##gamemenu_constructionwheel_beartrap,Bear Trap
##gamemenu_constructionwheel_beartrap_text,A trap for bears. And corrupt rocks.
##gamemenu_constructionwheel_structurehub,Structure Hub
##gamemenu_constructionwheel_structurehub_text,Build doors and catapults.
##gamemenu_constructionwheel_choppingblock,Chopping Block
##gamemenu_constructionwheel_choppingblock_text,Used to transform wood into planks.
##gamemenu_constructionwheel_workbench,Workbench
##gamemenu_constructionwheel_workbench_text,Used to craft archer and halberdier kits
##gamemenu_constructionwheel_furnace,Furnace
##gamemenu_constructionwheel_furnace_text,Used to smelt raw materials into goods.
##gamemenu_constructionwheel_toolrack,Weapon Rack
##gamemenu_constructionwheel_toolrack_text,Store and equip weapons
##gamemenu_constructionwheel_loom,Loom
##gamemenu_constructionwheel_loom_text,Used to create rope and fabric.
##gamemenu_constructionwheel_forge,Forge
##gamemenu_constructionwheel_forge_text,Used to build knight's equipment.
##gamemenu_constructionwheel_machineshop,Machine Shop
##gamemenu_constructionwheel_machineshop_text,Used to make advanced apparatus like arbalist kits.
##gamemenu_constructionwheel_altar,Altar
##gamemenu_constructionwheel_altar_text,Used to make artificer's tools.
##gamemenu_constructionwheel_laboratory,Laboratory
##gamemenu_constructionwheel_laboratory_text,Temper with explosive substances using this crafting station.
##gamemenu_constructionwheel_ropebridge,Rope Bridge
##gamemenu_constructionwheel_ropebridge_text,Build a flexible bridge between two ledges.
##gamemenu_constructionwheel_catapult,Catapult
##gamemenu_constructionwheel_catapult_text,Catapults throw explosive barrels at enemies.
##gamemenu_constructionwheel_door,Door
##gamemenu_constructionwheel_door_text,Doors can be locked to block pathways.
##gamemenu_constructionwheel_shakydoor,Rickety Door
##gamemenu_constructionwheel_shakydoor_text,Roughly built door of questionable structural integrity.
##gamemenu_constructionwheel_heavydoor,Reinforced Door
##gamemenu_constructionwheel_heavydoor_text,Heavy duty door reinforced with metal hinges and supports.
##gamemenu_constructionwheel_window,Window
##gamemenu_constructionwheel_window_text,Lets the Bricktrons see outside their fortress.
##gamemenu_constructionwheel_doublewindow,Double Window
##gamemenu_constructionwheel_doublewindow_text,This bigger window lets even more light in.
##gamemenu_constructionwheel_stockpile,Stockpile
##gamemenu_constructionwheel_stockpile_text,Stockpiles hold bricks and logs for construction.
##gamemenu_constructionwheel_healingward,Healing Ward
##gamemenu_constructionwheel_healingward_text,"Cast a healing aura for any friendly being close by.
<color=yellow> 1 iron ingot + 20 brimstone </color>"
##gamemenu_constructionwheel_sentinelward,Sentinel Ward
##gamemenu_constructionwheel_sentinelward_text,"Emit protective wisps to harm hostiles.
<color=yellow> 1 iron ingot + 40 brimstone </color>"
##gamemenu_constructionwheel_lanternward,Lantern Ward
##gamemenu_constructionwheel_lanternward_text,Reveals the surrounding area and emits light. <color=yellow> 1 iron ingot + 5 brimstone </color>
##gamemenu_constructionwheel_pylonward,Pylon Ward
##gamemenu_constructionwheel_pylonward_text,Transmit energy from the home crystal to nearby wards. <color=yellow> 1 iron ingot + 10 brimstone </color>
##gamemenu_constructionwheel_captureward,Capture Ward
##gamemenu_constructionwheel_captureward_text,"Capture nearby crystals and shards in range
<color=yellow> 1 iron ingot + 40 brimstone </color>"
##gamemenu_constructionwheel_knightstatue,Knight Statue
##gamemenu_constructionwheel_knightstatue_text,A finely sculpted effigy of bricktron tenacity and courage.
##gamemenu_constructionwheel_paintingsmall,Small Painting
##gamemenu_constructionwheel_paintingsmall_text,This castle is a testament to bricktron industriousness.
##gamemenu_constructionwheel_paintingbig,Big Painting
##gamemenu_constructionwheel_paintingbig_text,Landscape painted by famous painter Bricktron Ross.
##gamemenu_constructionwheel_paintingwide,Wide Painting
##gamemenu_constructionwheel_paintingwide_text,These massive statues have puzzled bricktron archeologists for decades.
##gamemenu_constructionwheel_paintingtall,Tall Painting
##gamemenu_constructionwheel_paintingtall_text,A Bricktron in its natural habitat.
,
##gamemenu_constructionwheel_woodhub,Wood Hub
##gamemenu_constructionwheel_woodhub_text,Build logs and planks.
##gamemenu_constructionwheel_scaffolding,Scaffolding
##gamemenu_constructionwheel_log,Log
##gamemenu_constructionwheel_log_text,Wooden colums form scaffolding for structures.
##gamemenu_constructionwheel_brace,Brace
##gamemenu_constructionwheel_brace_text,A brace extends beam effectiveness by 4 units.
##gamemenu_constructionwheel_woodcolumn,Wood Column
##gamemenu_constructionwheel_woodcolumn_text,Wooden columns form scaffolding for structures.
##gamemenu_constructionwheel_beam,Beam
##gamemenu_constructionwheel_beam_text,Beams allow support for longer plank platforms.
##gamemenu_constructionwheel_plank,Plank
##gamemenu_constructionwheel_plank_text,"Planks and colums make quick, solid platforms."
##gamemenu_constructionwheel_ramp,Ramp
##gamemenu_constructionwheel_ramp_text,Allows for height changes in wooden platforms.
##gamemenu_constructionwheel_rampjunction,Ramp Junction
##gamemenu_constructionwheel_rampjunction_text,Allows a transition between planks and ramps.
##gamemenu_constructionwheel_applychanges,Apply Changes
##gamemenu_constructionwheel_applychanges_text,Apply pending changes to current task
,
,
##gamemenu_craftingwheel_nothing,Stop all Work
##gamemenu_craftingwheel_nothing_text,Stop current and queued work at the station
##gamemenu_craftingwheel_produce_planks,Produce planks
##gamemenu_craftingwheel_produce_planks_text,Continually transform wood logs into woodplanks
##gamemenu_craftingwheel_produce_iron,Produce Iron ingots
##gamemenu_craftingwheel_produce_iron_text,Continually transform raw iron into iron ingots
##gamemenu_craftingwheel_produce_glass,Produce Glass ingots
##gamemenu_craftingwheel_produce_glass_text,Continually transform stone into glass ingots
,
##gamemenu_craftingwheel_queue_sword,Queue Sword
##gamemenu_craftingwheel_queue_sword_text,Orders a Sword
##gamemenu_craftingwheel_queue_helmet,Queue Helmet
##gamemenu_craftingwheel_queue_helmet_text,Orders a Helmet
##gamemenu_craftingwheel_queue_shield,Queue Shield
##gamemenu_craftingwheel_queue_shield_text,Orders a Shield
##gamemenu_craftingwheel_queue_bow,Queue Bow
##gamemenu_craftingwheel_queue_bow_text,Orders a Bow
##gamemenu_craftingwheel_queue_quiver,Queue Quiver
##gamemenu_craftingwheel_queue_quiver_text,Orders a Quiver
##gamemenu_craftingwheel_queue_cap,Queue Cap
##gamemenu_craftingwheel_queue_cap_text,Orders a Cap
##gamemenu_craftingwheel_queue_halberdierkit,Halberdier Kit
##gamemenu_craftingwheel_queue_halberdierkit_text,"Fast melee unit with good damage
<color=yellow> 1 iron ingots + 1 plank </color>"
##gamemenu_craftingwheel_queue_knightkit,Knight Kit
##gamemenu_craftingwheel_queue_knightkit_text,"Sturdy melee unit with good defensive capabilities
<color=yellow> 5 iron ingots </color>"
##gamemenu_craftingwheel_queue_archerkit,Archer Kit
##gamemenu_craftingwheel_queue_archerkit_text,"A fast firing but fragile long range unit
<color=yellow> 1 fabric + 2 planks + 1 rope </color>"
##gamemenu_craftingwheel_queue_crossbowtronkit,Arbalist Kit
##gamemenu_craftingwheel_queue_crossbowtronkit_text,"A short range, sturdy damage dealer<color=yellow> 2 iron + 2 cogs + 1 rope + 1 fabric</color>"
##gamemenu_craftingwheel_queue_geomancerkit,Artificer Kit
##gamemenu_craftingwheel_queue_geomancerkit_text,Healer <color=yellow> 1 iron + 80 brimstone + 2 fabric + 1 glass + 1 plank </color>
##gamemenu_craftingwheel_queue_alchemistkit,Alchemist Kit
##gamemenu_craftingwheel_queue_alchemistkit_text,Hurls bombs at the enemy. <color=yellow> 3 fabric + 30 brimstone  + 3 glass ingots</color>
,
##gamemenu_craftingwheel_produce_rope,Produce Rope
##gamemenu_craftingwheel_produce_rope_text,"Continually transform plants into rope
<color=yellow> 10 plants </color>"
##gamemenu_craftingwheel_produce_fabric,Produce Fabric
##gamemenu_craftingwheel_produce_fabric_text,"Continually transform plants into fabric
<color=yellow> 10 plants </color>"
##gamemenu_craftingwheel_produce_cog,Produce Cogs
##gamemenu_craftingwheel_produce_cog_text,"Continually transform iron ingots into cogs
<color=yellow> 1 iron ingot </color>"
##gamemenu_craftingwheel_produce_bomb,Produce Bombs
##gamemenu_craftingwheel_produce_bomb_text,"Continually craft bombs
<color=yellow> 15 brimstone </color>"
##gamemenu_craftingwheel_queue_beartrap,Bear Trap
##gamemenu_craftingwheel_queue_beartrap_text,"A trap for bears. And corrupt rocks.
<color=yellow> 1 iron ingot</color>"
##gamemenu_craftingwheel_queue_explosivebarrel,Explosive Barrel
##gamemenu_craftingwheel_queue_explosivebarrel_text,"Can be loaded into catapult or used as trap.
<color=yellow> 1 plank + 10 brimstone</color>
"
,
##gamemenu_craftingwheel_clearqueue,Clear Queue
##gamemenu_craftingwheel_clearqueue_text,Remove all items in production
##gamemenu_craftingwheel_assignto,Assign
##gamemenu_craftingwheel_assignto_text,Operate this station
##gamemenu_craftingwheel_work,Work
##gamemenu_craftingwheel_work_text,Work on crafting production
##gamemenu_craftingwheel_production,Grab Production
##gamemenu_craftingwheel_production_text,Take crafting production in bag
##gamemenu_craftingwheel_add,Add Ressources
##gamemenu_craftingwheel_add_text,Add bag content to crafting station
##gamemenu_craftingwheel_take,Grab Ressources
##gamemenu_craftingwheel_take_text,Take crafting resources in bag
,
##cursortip_beartrap,Bear Trap
##cursortip_explosivebarrel,Explosive Barrel
##cursortip_catapult,Catapult
##cursortip_door,Door
##cursortip_stockpile,Stockpile
##cursortip_weaponstand,Weapon Rack
##cursortip_captureward,Capture Ward
##cursortip_healingward,Healing Ward
##cursortip_lanternward,Lantern Ward
##cursortip_sentinelward,Sentinel Ward
##cursortip_pylonward,Pylon Ward
##cursortip_altar,Altar
##cursortip_loom,Loom
##cursortip_furnace,Furnace
##cursortip_forge,Forge
##cursortip_lab,Laboratory
##cursortip_machineshop,Machine Shop
##cursortip_choppingblock,Chopping Block
##cursortip_workbench,Workbench
##cursortip_ropebridge,Rope Bridge
,
TASKBAR,
##gamemenu_taskbar_newtask,New Task
##gamemenu_taskbar_tasknumber,Tasks:
##gamemenu_taskbar_idle,Idle
##gamemenu_taskbar_construction,Construction
##gamemenu_taskbar_maintenancetasks,Maintenance Tasks
##gamemenu_taskbar_miningtasks,Mining Tasks
##gamemenu_taskbar_harvesttasks,Harvest Tasks
##gamemenu_taskbar_constructiontasks,Construction Tasks
##gamemenu_taskbar_harvest,Harvest
##gamemenu_taskbar_cleaning,Cleaning
##gamemenu_taskbar_tunnel,Tunnel
##gamemenu_taskbar_repair,Repair
##gamemenu_taskbar_landscape,Flatten
##gamemenu_taskbar_quarry,Quarry
##gamemenu_taskbar_blueprints,Blueprints
##gamemenu_taskbar_storage,Storage
##gamemenu_taskbar_production,Production
##gamemenu_taskbar_crafting,Crafting
##gamemenu_taskbar_structures,Structures
##gamemenu_taskbar_wards,Wards
##gamemenu_taskbar_decorations,Decorations
##gamemenu_taskbar_woodblocks,Wood Blocks
##gamemenu_taskbar_blocks,Blocks
##gamemenu_taskbar_stoneblocks,Stone Blocks
##gamemenu_taskbar_roundbricks,Round Bricks
##gamemenu_taskbar_crenelations,Crenelations
##gamemenu_taskbar_plugs,Plugs
##gamemenu_taskbar_blueprints_operation,Operation
##gamemenu_taskbar_blueprints_move,Move
##gamemenu_taskbar_blueprints_copy,Copy
##gamemenu_taskbar_blueprints_split,Split
##gamemenu_taskbar_blueprints_delete,Delete
##gamemenu_taskbar_blueprints_selection,Selection
##gamemenu_taskbar_blueprints_expand,Expand
##gamemenu_taskbar_blueprints_clear,Clear
##gamemenu_taskbar_blueprintactions,Save current selection
##gamemenu_taskbar_blueprintssaved,Blueprint library
##gamemenu_taskbar_loadblueprint,Load blueprint
##gamemenu_taskbar_publishblueprint,Publish to Workshop
##gamemenu_taskbar_blueprintpublished,Published blueprint to Workshop
##gamemenu_taskbar_blueprintdelete,Delete blueprint
,
##gamemenu_taskbar_goals,Goals
##gamemenu_taskbar_stairs,Stairs
##gamemenu_taskbar_boulders,Boulders
##gamemenu_taskbar_iron,Iron
##gamemenu_taskbar_brimstone,Brimstone
##gamemenu_taskbar_trees,Trees
##gamemenu_taskbar_plants,Plants
##gamemenu_taskbar_raiseall,Raise All
##gamemenu_taskbar_digall,Dig All
##gamemenu_taskbar_stairs,Stairs
##gamemenu_taskbar_tunnel_straight,Straight
##gamemenu_taskbar_tunnel_up,Up
##gamemenu_taskbar_tunnel_down,Down
##gamemenu_taskbar_build,Build
##gamemenu_taskbar_structures,Structures
##gamemenu_taskbar_status_ok,Commit
##gamemenu_taskbar_status_apply,Apply
##gamemenu_taskbar_status_cancel,Cancel
##gamemenu_taskbar_status_delete,Delete
##gamemenu_taskbar_deletetask,Delete Task
##gamemenu_taskbar_required,Required
##gamemenu_taskbar_construction_topbar,Build Task
##gamemenu_taskbar_construction,Build
##gamemenu_taskbar_construction_text,"Click here to place new bricks, structures and stockpiles."
##gamemenu_taskbar_constructioncrew,ConstructionCrew
##gamemenu_taskbar_constructioncrew_text,"Click to select workers.
Shift-Click to raise project priority.
Ctrl-click to lower project priority."
##gamemenu_taskbar_quarry_topbar,Quarry Task
##gamemenu_taskbar_quarry,Quarry
##gamemenu_taskbar_quarry_text,Click here to change the size of this quarry.
##gamemenu_taskbar_quarrycrew,QuarryCrew
##gamemenu_taskbar_quarrycrew_text,"Click to select workers.
Shift-Click to raise project priority.
Ctrl-click to lower project priority."
##gamemenu_taskbar_cleanup_topbar,Cleanup Task
##gamemenu_taskbar_cleanup,Cleanup
##gamemenu_taskbar_cleanup_text,Click here to change the radius of this cleanup task.
##gamemenu_taskbar_cleanupcrew,CleanupCrew
##gamemenu_taskbar_cleanupcrew_text,"Click to select workers.
Shift-Click to raise project priority.
Ctrl-click to lower project priority."
##gamemenu_taskbar_harvest_topbar,Harvest Task
##gamemenu_taskbar_harvest,Harvest
##gamemenu_taskbar_harvest_text,Click here to change the radius and choose which resources you want to harvest.
##gamemenu_taskbar_harvestcrew,HarvestCrew
##gamemenu_taskbar_harvestcrew_text,"Click to select workers.
Shift-Click to raise project priority.
Ctrl-click to lower project priority."
##gamemenu_taskbar_repair_topbar,Repair Task
##gamemenu_taskbar_repair,Repair
##gamemenu_taskbar_repair_text,Click here to select which bricks you want to be repaired.
##gamemenu_taskbar_repaircrew,RepairCrew
##gamemenu_taskbar_repaircrew_text,"Click to select workers.
Shift-Click to add new worker slots.
Ctrl-click to remove slots."
##gamemenu_taskbar_landscape_topbar,Flatten Task
##gamemenu_taskbar_landscape,Flatten
##gamemenu_taskbar_landscape_text,Click here to change where you want to flatten the ground.
##gamemenu_taskbar_landscapecrew,FlattenCrew
##gamemenu_taskbar_landscapecrew_text,"Click to select workers.
Shift-Click to raise project priority.
Ctrl-click to lower project priority."
##gamemenu_taskbar_tunnel_topbar,Tunnel Task
##gamemenu_taskbar_tunnel,Tunnel
##gamemenu_taskbar_tunnel_text,Click here to create new tunnels you want to be excavated.
##gamemenu_taskbar_tunnelcrew,TunnelCrew
##gamemenu_taskbar_tunnelcrew_text,"Click to select workers.
Shift-Click to raise project priority.
Ctrl-click to lower project priority."
##gamemenu_taskbar_idle,Workers
##gamemenu_taskbar_idle_text,"Your workers are listed here. 
Passive workers are on the left.
Active workers are on the right."
##gamemenu_taskbar_idlecrew,Passive Workers
##gamemenu_taskbar_idlecrew_text,"Passive workers are listed here.
If you give a worker a manual order, he becomes passive. Passive workers will get back to work after a few seconds."
##gamemenu_taskbar_active,Active Workers
##gamemenu_taskbar_active_text,"Active workers are listed here.
They choose tasks to work on automatically."
##gamemenu_taskbar_newtask,New Task
##gamemenu_taskbar_newtask_text,"Click here to create new tasks.
For bricks and stockpiles, use the build task. 
To gather trees, metal and brimstone, use the harvest task."
##gamemenu_taskbar_meleeunits,Melee
##gamemenu_taskbar_meleeunits_text,"Your melee units are listed here.
"
##gamemenu_taskbar_rangedunits,Ranged
##gamemenu_taskbar_rangedunits_text,Your ranged units are listed here.
##gamemenu_taskbar_select,Select
##gamemenu_taskbar_priority,Priority
##gamemenu_taskbar_locked,Locked
##gamemenu_taskbar_low,Low
##gamemenu_taskbar_medium,Medium
##gamemenu_taskbar_high,High
##gamemenu_taskbar_edit,Edit
##gamemenu_taskbar_close,Close
##task_actions_lowerpriority,Lower priority
##task_actions_lowerpriority_info,<color=#ffc50a>Lower priority</color>\n\nMakes the task less urgent
##task_actions_raisepriority,Raise priority
##task_actions_raisepriority_info,<color=#ffc50a>Raise priority</color>\n\nMakes the task more urgent
,
##gamemenu_topmenu_settings,Settings
##gamemenu_topmenu_toggledebug,Toggle Debug Display
##gamemenu_topmenu_fogofwar,Fog Of War
##gamemenu_topmenu_mainmenu,Main Menu
##gamemenu_topmenu_xray,Xray
##gamemenu_topmenu_mute,Mute
##gamemenu_topmenu_screenshot,ScreenShot
##gamemenu_topmenu_quicksave,QuickSave
##gamemenu_topmenu_pause,Pause
##gamemenu_topmenu_Alerts,Alerts
##gamemenu_topmenu_editorcamera,Editor Camera
##gamemenu_topmenu_speedx2,Speed x2
##gamemenu_topmenu_audiodebug,Audio Debug
##gamemenu_topmenu_gc,Memory Collection
,
DEBUG,
##gamemenu_debug_modedisplay,Debug Mode
##gamemenu_debug_title,Debug
##gamemenu_debug_disclaimer,Certain tools in this Debug panel may cause a drop in performance or break the game. Use it at your own risk and consider backing up your save file first.
##gamemenu_debug_instantbuild,Instant Build Mode
##gamemenu_debug_timex2,Time x2
##gamemenu_debug_timeofday,Time of Day
##gamemenu_debug_pausedaytime,Pause Daytime
##gamemenu_debug_currenttime,Current Time
##gamemenu_debug_spawnbricktrons,Spawn Bricktrons
##gamemenu_debug_worker,Worker
##gamemenu_debug_knight,Knight
##gamemenu_debug_archer,Archer
##gamemenu_debug_halberdier,Halberdier
##gamemenu_debug_arbalist,Arbalist
##gamemenu_debug_artificer,Artificer
##gamemenu_debug_alchemist,Alchemist
##gamemenu_debug_spawncorruptrons,Spawn Corruptrons
##gamemenu_debug_minitron,Minitron
##gamemenu_debug_corruptron,Corruptron
##gamemenu_debug_biftron,Biftron
##gamemenu_debug_magitron,Warlock
,
GENERIC SYSTEM STRINGS,
##faction_blue,Blue
##faction_red,Red
##faction_green,Green
##faction_orange,Orange
##faction_corruptrons,Corruptrons
##faction_spectators,Spectators
##faction_neutral,Neutral
,
##team_a,Team A
##team_b,Team B
##team_c,Team C
##team_d,Team D
,
##saved_map,Map Saved
##saved_game,Game Saved
,
GAMEMODES,
##mode,Mode
##mode_sandbox,Sandbox
##mode_sandbox_info,The game mode for creatives and pacifists. No enemies means you can build anything you want at your own pace.
##mode_sandbox_intro,"This is <b>Sandbox mode</b>.

In this mode, your creativity's the limit!
There is no time limit and no Corruptrons, so you can build without worry.
Use this time to explore the game and practice the art of castle building. 

Have fun!"
##mode_sandbox_intro_start,I'm ready!
##mode_sandbox_intro_start_info,Start the game
##mode_conquest,Conquest
##mode_conquest_info,Hordes of marauding corruptrons roam the land. Can you muster enough forces to kick them off your island?
##mode_conquest_intro,"The corruptrons have made landfall on this island. In no time,
they will have spread their corrupting influence over all of the island's magical crystals.
Only you can stop their advance.

Are you up to the challenge?"
##mode_conquest_intro_start,I'm ready!
##mode_conquest_intro_start_info,Start the game
##mode_conquest_victory,Victory!
##mode_conquest_victory_info,You have crushed the opposing factions. Your masterful building and strategy have given your Bricktrons the upper hand and they now control the Islands. You will forever be remembered as a glorious leader.
##mode_conquest_victory_quit,Quit
##mode_conquest_victory_quit_info,Return to main menu
##mode_conquest_defeat,Defeat!
##mode_conquest_defeat_info,"Your enemies have conquered your home Crystal. 
Most of your Bricktrons have been defeated and the surviving ones have been exiled. They now seek new horizons and a new island to call home."
##mode_conquest_defeat_quit,Quit
##mode_conquest_defeat_quit_info,Return to main menu
##mode_conquest_defeat_continue,Spectate
##mode_conquest_defeat_continue_info,Continue as spectator
##mode_invasion,Invasion
##mode_invasion_info,Corruptrons attack your castle in waves of increasing difficulty. How long will you last? Skill and determination are your best weapons.
##mode_invasion_intro,"Your time is limited.

Hordes of marauding Corruptrons are at your doorstep.
Each wave of Corruptrons will get increasingly diffcult.
Your only option is to erect fortifications around your home crystal and brace yourself.

Good luck!"
##mode_invasion_intro_start,I'm ready!
##mode_invasion_intro_start_info,Start the game
##mode_invasion_victory,Victory!
##mode_invasion_victory_info,"You have demonstrated that you could withstand any reasonably sized corruptron assault. You have officially won the <b>Invasion</b> game mode. You can keep playing if you want, but the increasing number of ennemies will eventually impact the game performance and unravel the very fabric of the bricktron world."
##mode_invasion_victory_quit,Quit
##mode_invasion_victory_quit_info,Return to main menu
##mode_invasion_victory_continue,Continue
##mode_invasion_victory_continue_info,Keep playing
##mode_invasion_defeat,Defeat!
##mode_invasion_defeat_info,"Henceforth, The once glorious lands upon which the Bricktrons thrived becometh a territory governed by the ruthless Corruptrons."
##mode_invasion_defeat_quit,Quit
##mode_invasion_defeat_quit_info,Return to main menu
##mode_invasion_nextwave,Next wave starts in:
##mode_invasion_skip,Skip
##mode_invasion_hidden,(Hidden)
##mode_invasion_wave,Wave
##mode_invasion_killcount,Kills: 
##mode_invasion_wavesurvived_one,You have survived #waves_survived wave.
##mode_invasion_wavesurvived_many,You have survived #waves_survived waves.
##mode_worldeditor,World Editor
##mode_worldeditor_info,Create a new map from scratch
##mode_creditisland,Credit Island
##mode_creditisland_intro,"Legend has it that these floating islands contain the lost souls of 30 000 backers. These souls, trapped within layers of solid rock, are awaiting the day where they will be set free!"
##mode_creditisland_intro_start,I'm ready!
##mode_creditisland_intro_start_info,Start the game
##mode_unsupported,Unsupported
##mode_noneselected,None selected
##mode_nonesupported,None supported
##mode_gtg,Grab the Gems
##mode_gtg_info,Grab the Gems is a multiplayer game mode in which you must bring back gems to your home crystal. The team that brings back the most gems to their crystal wins!
##mode_gtg_intro,"Grab the Gems is a gamemode where, in order to win, you must be the first faction to collect #gems_to_win gems and drop them at your home crystal.
Pick up gems by selecting a worker and right-clicking a gem that has appeared in its patch. Drop the gem in your crystal by right-clicking it with the worker selected.
Consider defending patches of gems and hunting down enemy workers who are hauling gems back to their base.
Have fun and good luck!"
##mode_gtg_intro_start,I'm ready!
##mode_gtg_intro_start_info,Get grabbin'
##mode_gtg_gemscollected_one,You have managed to collect #gem_count gem!
##mode_gtg_gemscollected_many,You have managed to collect #gem_count gems!
##mode_gtg_timebeforenextgem,Time before next gem:
##mode_gtg_victory,Victory!
##mode_gtg_victory_info,You are victorious! You were the first faction to collect all the needed gems. Fabulous! Outrageous!
##mode_gtg_victory_quit,Quit game
##mode_gtg_victory_quit_info,Return to main menu
##mode_gtg_defeat,Defeat!
##mode_gtg_defeat_info,"You have been defeated.\n
Another faction has managed to collect the needed gems before you.\n
May your powerless, gemless Bricktrons live in shame until you once again seize the opportunity to prove yourself!"
##mode_gtg_defeat_quit,Quit game
##mode_gtg_defeat_quit_info,Return to main menu
,
PRESETS,
##mode_preset,Preset
##mode_preset_noneselected,None selected
##mode_sandbox_preset_lightsout,Lights Out
##mode_sandbox_default,Default
##mode_conquest_preset_easy,Easy
##mode_conquest_preset_normal,Normal
##mode_conquest_preset_hard,Hard
##mode_conquest_preset_normallightsout,Normal Lights Out
##mode_conquest_preset_versus,Versus
##mode_conquest_preset_coopeasy,Coop Easy
##mode_conquest_preset_coopnormal,Coop Normal
##mode_conquest_preset_coophard,Coop Hard
##mode_conquest_preset_coopnormallightsout,Coop Normal Lights Out
##mode_invasion_preset_easy,Easy
##mode_invasion_preset_normal,Normal
##mode_invasion_preset_normallightsout,Normal Lights Out
##mode_invasion_preset_hard,Hard
##mode_invasion_preset_very_hard,Very Hard
##mode_invasion_preset_coop_easy,Coop Easy
##mode_invasion_preset_coop_normal,Coop Normal
##mode_invasion_preset_coop_normallightsout,Coop Normal Lights Out
##mode_invasion_preset_coop_hard,Coop Hard
##mode_worldeditor_preset_default,Default
##mode_creditisland_preset_default,Credit Island
##mode_gtg_preset_default,Default
##mode_gtg_preset_default_info,Default preset.
##mode_gtg_preset_extended,Extended
##mode_gtg_preset_extended_info,Gems will take more time to spawn
,
##mode_tutorial,Tutorial
##mode_tutorial_info,An introduction to Castle Story
##mode_tutorial_preset_default,Default
##mode_tutorial_sendcorruptron,Send Corruptron Wave
,
##mapmenu_size,Size
##mapmenu_size_small,Small
##mapmenu_size_medium,Medium
##mapmenu_size_large,Large
,
##mapmenu_maxplayers,Max Players
,
##gamemenu_corrupted,Corrupted
##gamemenu_player,Player
,
##mapmenu_delete,Delete
##mapmenu_delete_info,Delete the save file from your disk.
##mapmenu_delete_confirmation,Delete Confirmation
##mapmenu_delete_confirmation_message,You are about to delete this file forever.\nThis action cannot be undone.\nContinue?
##mapmenu_delete_confirmation_confirm,Yes! Delete.
##mapmenu_delete_confirmation_cancel,Cancel
,
##mainmenu_none,None
,
DATETIME,
##datetime_dateformat,"#weekday, #month #monthday, #year"
,
##datetime_month_january,January
##datetime_month_february,February
##datetime_month_march,March
##datetime_month_april,April
##datetime_month_may,May
##datetime_month_june,June
##datetime_month_july,July
##datetime_month_august,August
##datetime_month_september,September
##datetime_month_october,October
##datetime_month_november,November
##datetime_month_december,December
,
##datetime_weekday_sunday,Sunday
##datetime_weekday_monday,Monday
##datetime_weekday_tuesday,Tuesday
##datetime_weekday_wednesday,Wednesday
##datetime_weekday_thursday,Thursday
